"id","adu_numero","adu_seccion","adu_denomina"
"86","48","1","PUERTO VALLARTA, PUERTO VALLARTA, JALISCO."
"87","48","4","TERMINAL INTERMODAL FERROVIARIA, GUADALAJARA, JALISCO."
"88","50","0","SONOYTA, SONOYTA, SONORA."
"89","50","1","SAN EMETERIO, GENERAL PLUTARCO ELIAS CALLES, SONORA."
"90","50","","SONORA, PITIQUITO, SONORA."
"91","51","0","LAZARO CARDENAS, LAZARO CARDENAS, MICHOACAN."
"92","51","1","AEROPUERTO INTERNACIONAL IXTAPA-ZIHUATANEJO, ZIHUATANEJO DE AZUETA, GUERRERO."
"93","52","0","MONTERREY, GENERAL MARIANO ESCOBEDO, NUEVO LEON."
"94","52","1","AEROPUERTO INTERNACIONAL GENERAL MARIANO ESCOBEDO, APODACA, NUEVO LEON."
"95","52","3","SALINAS VICTORIA A (TERMINAL FERROVIARIA), SALINAS VICTORIA, NUEVO LEON."
"96","52","4","GENERAL ESCOBEDO, GENERAL ESCOBEDO, NUEVO LEON."
"97","52","5","SALINAS VICTORIA B (INTERPUERTO), SALINAS VICTORIA, NUEVO LE"
"98","53","0","CANCUN, CANCUN, QUINTANA ROO."
"99","53","2","AEROPUERTO INTERNACIONAL DE COZUMEL, COZUMEL, QUINTANA ROO."
"100","53","3","PUERTO MORELOS, BENITO JUAREZ, QUINTANA ROO."
"101","64","0","QUERETARO, EL MARQUES Y COLON, QUERETARO."
"102","64","7","HIDALGO, ATOTONILCO DE TULA, HIDALGO."
"103","65","0","TOLUCA, TOLUCA, ESTADO DE MEXICO."
"104","65","1","SAN CAYETANO MORELOS, TOLUCA, ESTADO DE M"
"105","67","0","CHIHUAHUA, CHIHUAHUA, CHIHUAHUA."
"106","67","1","PARQUE INDUSTRIAL LAS AMERICAS, CHIHUAHUA, CHIHUAHUA."
"107","67","2","AEROPUERTO INTERNACIONAL GENERAL ROBERTO FIERRO VILLALOBOS, CHIHUAHUA, CHIHUAHUA."
"108","73","0","AGUASCALIENTES, AGUASCALIENTES, AGUASCALIENTES."
"109","73","1","PARQUE MULTIMODAL INTERPUERTO, SAN LUIS POTOSI, SAN LUIS POTOSI."
"110","73","3","AEROPUERTO INTERNACIONAL PONCIANO ARRIAGA, SOLEDAD DE GRACIANO SANCHEZ, SAN LUIS POTOSI."
"111","73","2","AEROPUERTO INTERNACIONAL GENERAL LEOBARDO C. RUIZ, EN CALERA ZACATECAS."
"112","73","4","LA PILA-VILLA, VILLA DE REYES, SAN LUIS POTOSI."
"113","73","","CHICALOTE, SAN FRANCISCO DE LOS ROMO, AGUASCALIENTES."
